name,conf,dir,grid,n_ch,n_tiles,n_z,cond,z_pitch
sta-00.125-20um-s-XY01,experiment.yaml,0125uMsta-20um-grids,XY01,3,27,8,sta-00.125-20um-s,200
sta-00.125-20um-s-XY02,experiment.yaml,0125uMsta-20um-grids,XY02,3,27,7,sta-00.125-20um-s,200
sta-00.125-20um-s-XY03,experiment.yaml,0125uMsta-20um-grids,XY03,3,27,9,sta-00.125-20um-s,200
sta-00.250-20um-s-XY01,experiment.yaml,025uMsta-20um-grids,XY01,3,27,8,sta-00.250-20um-s,200
sta-00.250-20um-s-XY02,experiment.yaml,025uMsta-20um-grids,XY02,3,27,7,sta-00.250-20um-s,200
sta-00.250-20um-s-XY03,experiment.yaml,025uMsta-20um-grids,XY03,3,27,9,sta-00.250-20um-s,200
sta-00.500-20um-s-XY01,experiment.yaml,05uMsta-20um-grids,XY01,3,27,7,sta-00.500-20um-s,200
sta-00.500-20um-s-XY02,experiment.yaml,05uMsta-20um-grids,XY02,3,27,7,sta-00.500-20um-s,200
sta-00.500-20um-s-XY03,experiment.yaml,05uMsta-20um-grids,XY03,3,27,8,sta-00.500-20um-s,200
sta-01.000-20um-s-XY01,experiment.yaml,1uMsta-20um-grids,XY01,3,27,7,sta-01.000-20um-s,200
sta-01.000-20um-s-XY02,experiment.yaml,1uMsta-20um-grids,XY02,3,27,7,sta-01.000-20um-s,200
sta-01.000-20um-s-XY03,experiment.yaml,1uMsta-20um-grids,XY03,3,27,6,sta-01.000-20um-s,200
sta-02.000-20um-s-XY01,experiment.yaml,2uMsta-20um-grids,XY01,3,27,6,sta-02.000-20um-s,200
sta-02.000-20um-s-XY02,experiment.yaml,2uMsta-20um-grids,XY02,3,27,6,sta-02.000-20um-s,200
sta-02.000-20um-s-XY03,experiment.yaml,2uMsta-20um-grids,XY03,3,27,7,sta-02.000-20um-s,200
sta-04.000-20um-s-XY01,experiment_cy5last.yaml,4uMsta-grids,XY01,3,27,10,sta-04.000-20um-s,200
sta-04.000-20um-s-XY02,experiment_cy5last.yaml,4uMsta-grids,XY02,3,27,9,sta-04.000-20um-s,200
sta-04.000-20um-s-XY03,experiment_cy5last.yaml,4uMsta-grids,XY03,3,27,9,sta-04.000-20um-s,200
sta-00.000-20um-s-XY01,experiment.yaml,untreated-20um-grids,XY01,3,27,10,sta-00.000-20um-s,200
sta-00.000-20um-s-XY02,experiment.yaml,untreated-20um-grids,XY02,3,27,10,sta-00.000-20um-s,200
sta-00.000-20um-s-XY03,experiment.yaml,untreated-20um-grids,XY03,3,27,9,sta-00.000-20um-s,200
sta-00.000-20um-u-XY01,experiment.yaml,untreated-unstained20um-grids,XY01,3,27,10,sta-00.000-20um-u,200
sta-00.000-20um-u-XY02,experiment.yaml,untreated-unstained20um-grids,XY02,3,27,10,sta-00.000-20um-u,200
sta-00.000-20um-u-XY03,experiment.yaml,untreated-unstained20um-grids,XY03,3,27,10,sta-00.000-20um-u,200
